ID,ML,CHIP,TLP,ESM,HSPC,CHOL,PEG,TFR ,FRR,FR-O,FR-W,BUFFER,OUTPUT,SIZE,PDI
10CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,1.37,50,0.027,1.343,MQ,YES,81,0.312
11CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,0.25,7,0.031,0.219,MQ,YES,109,0.284
12CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,2.5,7,0.313,2.188,MQ,YES,78,0.291
13CD,HSPC,Micromixer,16.76,0,12.57,0,4.19,1.37,7,0.171,1.199,MQ,YES,86,0.269
14CD,HSPC,Micromixer,16.76,0,7.54,6.7,2.51,1.37,7,0.171,1.199,MQ,YES,68,0.282
15CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,1.37,7,0.171,1.199,MQ,YES,70,0.234
16CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,1.37,7,0.171,1.199,MQ,YES,68,0.246
17CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,1.37,7,0.171,1.199,MQ,YES,70,0.243
18CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,1.37,7,0.171,1.199,MQ,YES,68,0.235
19CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,1.37,7,0.171,1.199,MQ,YES,65,0.234
20CD,HSPC,Micromixer ,16.76,0,10.06,3.35,3.35,1.37,7,0.171,1.199,MQ,YES,69,0.232
21CD,HSPC,Micromixer,16.76,0,11.56,1.34,3.85,0.71,2,0.237,0.473,MQ,YES,88,0.327
22CD,HSPC,Micromixer,16.76,0,11.56,1.34,3.85,0.71,23,0.03,0.68,MQ,YES,110,0.476
23CD,HSPC,Micromixer,16.76,0,11.56,1.34,3.85,2.04,2,0.68,1.36,MQ,YES,86,0.343
24CD,HSPC,Micromixer,16.76,0,11.56,1.34,3.85,2.04,23,0.085,1.955,MQ,YES,94,0.355
25CD,HSPC,Micromixer,16.76,0,8.55,5.36,2.85,0.71,2,0.237,0.473,MQ,YES,93,0.183
26CD,HSPC,Micromixer,16.76,0,8.55,5.36,2.85,0.71,23,0.03,0.68,MQ,YES,86,0.258
27CD,HSPC,Micromixer,16.76,0,8.55,5.36,2.85,2.04,2,0.68,1.36,MQ,YES,63,0.198
28CD,HSPC,Micromixer,16.76,0,8.55,5.36,2.85,2.04,23,0.085,1.955,MQ,YES,72,0.292
29CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,1.37,1,0.685,0.685,MQ,YES,140,0.387
30CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,1.37,50,0.027,1.343,MQ,YES,93,0.361
31CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,0.25,7,0.031,0.219,MQ,YES,124,0.316
32CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,2.5,7,0.313,2.188,MQ,YES,73,0.334
33CD,HSPC,Micromixer,16.76,0,12.57,0,4.19,1.37,7,0.171,1.199,MQ,YES,96,0.284
34CD,HSPC,Micromixer,16.76,0,7.54,6.7,2.51,1.37,7,0.171,1.199,MQ,YES,67,0.273
35CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,1.37,7,0.171,1.199,MQ,YES,72,0.295
36CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,1.37,7,0.171,1.199,MQ,YES,82,0.335
37CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,1.37,7,0.171,1.199,MQ,YES,78,0.326
38CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,1.37,7,0.171,1.199,MQ,YES,73,0.295
39CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,1.37,7,0.171,1.199,MQ,YES,74,0.327
40CD,HSPC,Micromixer ,16.76,0,10.06,3.35,3.35,1.37,7,0.171,1.199,MQ,YES,76,0.354
41CD,HSPC,Micromixer,16.76,0,11.56,1.34,3.85,0.71,2,0.237,0.473,MQ,YES,131,0.402
42CD,HSPC,Micromixer,16.76,0,11.56,1.34,3.85,0.71,23,0.03,0.68,MQ,YES,102,0.354
43CD,HSPC,Micromixer,16.76,0,11.56,1.34,3.85,2.04,2,0.68,1.36,MQ,YES,93,0.262
44CD,HSPC,Micromixer,16.76,0,11.56,1.34,3.85,2.04,23,0.085,1.955,MQ,YES,93,0.376
45CD,HSPC,Micromixer,16.76,0,8.55,5.36,2.85,0.71,2,0.237,0.473,MQ,YES,96,0.164
46CD,HSPC,Micromixer,16.76,0,8.55,5.36,2.85,0.71,23,0.03,0.68,MQ,YES,78,0.242
