ID,ML,CHIP,TLP,ESM,HSPC,CHOL,PEG,TFR ,FRR,FR-O,FR-W,BUFFER,OUTPUT,SIZE,PDI
13OM,ESM,Micromixer,34.9,24.78,0,10.12,0,1.375,3,0.344,1.031,MQ,YES,159,0.087
14OM,ESM,Micromixer,34.9,24.78,0,10.12,0,0.58,1.6,0.223,0.357,MQ,YES,190,0.195
15OM,ESM,Micromixer,34.9,24.78,0,10.12,0,2.17,1.6,0.835,1.335,MQ,YES,229,0.244
16OM,ESM,Micromixer,34.9,24.78,0,10.12,0,0.58,4.4,0.107,0.473,MQ,YES,140,0.047
17OM,ESM,Micromixer,34.9,24.78,0,10.12,0,2.17,4.4,0.402,1.768,MQ,YES,117,0.046
18OM,ESM,Micromixer,34.9,24.78,0,10.12,0,0.25,3,0.063,0.188,MQ,YES,167,0.071
19OM,ESM,Micromixer,34.9,24.78,0,10.12,0,2.5,3,0.625,1.875,MQ,YES,138,0.05
20OM,ESM,Micromixer,34.9,24.78,0,10.12,0,1.375,1,0.688,0.688,MQ,YES,241,0.252
21OM,ESM,Micromixer,34.9,24.78,0,10.12,0,1.375,5,0.229,1.146,MQ,YES,116,0.07
22OM,ESM,Micromixer,34.9,24.78,0,10.12,0,1.375,3,0.344,1.031,MQ,YES,140,0.08
23OM,ESM,Micromixer,34.9,24.78,0,10.12,0,1.375,3,0.344,1.031,MQ,YES,142,0.064
24OM,ESM,Micromixer,34.9,24.78,0,10.12,0,1.375,3,0.344,1.031,MQ,YES,140,0.062
25OM,ESM,Micromixer,34.9,24.78,0,10.12,0,1.375,3,0.344,1.031,MQ,YES,140,0.065
26OM,ESM,Micromixer,34.9,24.78,0,10.12,0,1.375,3,0.344,1.031,MQ,YES,147,0.081
27OM,ESM,Micromixer,34.9,24.78,0,10.12,0,0.58,1.6,0.223,0.357,MQ,YES,221,0.271
28OM,ESM,Micromixer,34.9,24.78,0,10.12,0,2.17,1.6,0.835,1.335,MQ,YES,304,0.274
29OM,ESM,Micromixer,34.9,24.78,0,10.12,0,0.58,4.4,0.107,0.473,MQ,YES,160,0.071
30OM,ESM,Micromixer,34.9,24.78,0,10.12,0,2.17,4.4,0.402,1.768,MQ,YES,126,0.027
31OM,ESM,Micromixer,34.9,24.78,0,10.12,0,0.25,3,0.063,0.188,MQ,YES,191,0.132
32OM,ESM,Micromixer,34.9,24.78,0,10.12,0,2.5,3,0.625,1.875,MQ,YES,158,0.059
33OM,ESM,Micromixer,34.9,24.78,0,10.12,0,1.375,1,0.688,0.688,MQ,YES,236,0.26
34OM ,ESM,Micromixer,34.9,24.78,0,10.12,0,1.375,5,0.229,1.146,MQ,YES,131,0.044
35OM,ESM,Micromixer,34.9,24.78,0,10.12,0,1.375,3,0.344,1.031,MQ,YES,161,0.082
36OM,ESM,Micromixer,34.9,24.78,0,10.12,0,1.375,3,0.344,1.031,MQ,YES,159,0.085
37OM,ESM,Micromixer,34.9,24.78,0,10.12,0,1.375,3,0.344,1.031,MQ,YES,161,0.061
38OM,ESM,Micromixer,34.9,24.78,0,10.12,0,1.375,3,0.344,1.031,MQ,YES,172,0.111
39OM,ESM,Micromixer,34.9,24.78,0,10.12,0,1.375,3,0.344,1.031,MQ,YES,161,0.103
40OM,ESM,Micromixer,34.9,24.78,0,10.12,0,2.5,5,0.417,2.083,MQ,YES,115,0.056
41OM,ESM,Micromixer,34.9,24.78,0,10.12,0,2.5,5,0.417,2.083,MQ,YES,109,0.05
42OM,ESM,Micromixer,34.9,24.78,0,10.12,0,2.5,5,0.417,2.083,MQ,YES,107,0.055
