ID,ML,CHIP,TLP,ESM,HSPC,CHOL,PEG,TFR ,FRR,BUFFER,OUTPUT,SIZE,PDI
05OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,0.25,3.0,MQ,1,MEDIUM,0.16
06OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,2.5,3.0,MQ,1,MEDIUM,0.054
07OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,1.0,MQ,1,BIG,0.322
08OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,5.0,MQ,1,MEDIUM,0.058
09OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,MEDIUM,0.119
10OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,MEDIUM,0.091
11OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,MEDIUM,0.121
12OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,MEDIUM,0.095
13OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,MEDIUM,0.087
14OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,0.58,1.6,MQ,1,MEDIUM,0.195
15OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,2.17,1.6,MQ,1,BIG,0.244
16OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,0.58,4.4,MQ,1,MEDIUM,0.047
17OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,2.17,4.4,MQ,1,MEDIUM,0.046
18OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,0.25,3.0,MQ,1,MEDIUM,0.071
19OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,2.5,3.0,MQ,1,MEDIUM,0.05
20OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,1.0,MQ,1,BIG,0.252
21OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,5.0,MQ,1,MEDIUM,0.07
22OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,MEDIUM,0.08
23OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,MEDIUM,0.064
24OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,MEDIUM,0.062
25OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,MEDIUM,0.065
26OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,MEDIUM,0.081
27OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,0.58,1.6,MQ,1,BIG,0.271
28OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,2.17,1.6,MQ,1,BIG,0.274
29OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,0.58,4.4,MQ,1,MEDIUM,0.071
30OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,2.17,4.4,MQ,1,MEDIUM,0.027
31OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,0.25,3.0,MQ,1,MEDIUM,0.132
32OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,2.5,3.0,MQ,1,MEDIUM,0.059
33OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,1.0,MQ,1,BIG,0.26
34OM ,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,5.0,MQ,1,MEDIUM,0.044
35OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,MEDIUM,0.082
36OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,MEDIUM,0.085
37OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,MEDIUM,0.061
38OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,MEDIUM,0.111
39OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,MEDIUM,0.103
40OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,2.5,5.0,MQ,1,MEDIUM,0.056
41OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,2.5,5.0,MQ,1,MEDIUM,0.05
42OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,2.5,5.0,MQ,1,MEDIUM,0.055
