ID,ML,CHIP,TLP,ESM,HSPC,CHOL,PEG,TFR ,FRR,BUFFER
20CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ
21CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,0.71,2.0,MQ
22CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,0.71,23.0,MQ
23CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,2.04,2.0,MQ
24CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,2.04,23.0,MQ
25CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,0.71,2.0,MQ
26CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,0.71,23.0,MQ
27CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,2.04,2.0,MQ
28CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,2.04,23.0,MQ
29CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,1.0,MQ
30CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,50.0,MQ
31CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,0.25,7.0,MQ
32CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,2.5,7.0,MQ
33CD,HSPC,Micromixer,16.76,0.0,12.57,0.0,4.19,1.37,7.0,MQ
34CD,HSPC,Micromixer,16.76,0.0,7.54,6.7,2.51,1.37,7.0,MQ
35CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ
36CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ
37CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ
38CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ
39CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ
40CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ
41CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,0.71,2.0,MQ
42CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,0.71,23.0,MQ
43CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,2.04,2.0,MQ
44CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,2.04,23.0,MQ
45CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,0.71,2.0,MQ
46CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,0.71,23.0,MQ
47CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,2.04,2.0,MQ
48CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,2.04,23.0,MQ
49CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,1.0,MQ
50CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,50.0,MQ
51CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,0.25,7.0,MQ
52CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,2.5,7.0,MQ
53CD,HSPC,Micromixer,16.76,0.0,12.57,0.0,4.19,1.37,7.0,MQ
54CD,HSPC,Micromixer,16.76,0.0,7.54,6.7,2.51,1.37,7.0,MQ
55CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ
56CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ
57CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ
58CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ
59CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ
60CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ
61CD,HSPC,Micromixer,16.76,0.0,7.54,6.7,2.51,1.375,3.5,MQ
62CD,HSPC,Micromixer,16.76,0.0,7.54,6.7,2.51,2.5,3.5,MQ
63CD,HSPC,Micromixer,16.76,0.0,7.54,6.7,2.51,1.375,1.0,MQ
64CD,HSPC,Micromixer,16.76,0.0,7.54,6.7,2.51,2.5,1.0,MQ
65CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,1.375,3.5,MQ
66CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,2.5,3.5,MQ
67CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,1.375,1.0,MQ
68CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,2.5,1.0,MQ
69CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,0.25,1.0,MQ
70CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,0.25,3.5,MQ
01CM,ESM,Micromixer,20.0,17.97,0.0,2.03,0.0,0.706,1.8,MQ
02CM,ESM,Micromixer,20.0,12.03,0.0,7.97,0.0,0.706,1.8,MQ
03CM,ESM,Micromixer,20.0,17.97,0.0,2.03,0.0,2.044,1.8,MQ
04CM,ESM,Micromixer,20.0,12.03,0.0,7.97,0.0,2.044,1.8,MQ
05CM,ESM,Micromixer,20.0,17.97,0.0,2.03,0.0,0.706,4.2,MQ
06CM,ESM,Micromixer,20.0,12.03,0.0,7.97,0.0,0.706,4.2,MQ
07CM,ESM,Micromixer,20.0,17.97,0.0,2.03,0.0,2.044,4.2,MQ
08CM,ESM,Micromixer,20.0,12.03,0.0,7.97,0.0,2.044,4.2,MQ
09CM,ESM,Micromixer,20.0,20.0,0.0,0.0,0.0,1.375,3.0,MQ
10CM,ESM,Micromixer,20.0,10.0,0.0,10.0,0.0,1.375,3.0,MQ
11CM,ESM,Micromixer,20.0,15.0,0.0,5.0,0.0,0.25,3.0,MQ
12CM,ESM,Micromixer,20.0,15.0,0.0,5.0,0.0,2.5,3.0,MQ
13CM,ESM,Micromixer,20.0,15.0,0.0,5.0,0.0,1.375,1.0,MQ
14CM,ESM,Micromixer,20.0,15.0,0.0,5.0,0.0,1.375,5.0,MQ
15CM,ESM,Micromixer,20.0,15.0,0.0,5.0,0.0,1.375,3.0,MQ
16CM,ESM,Micromixer,20.0,15.0,0.0,5.0,0.0,1.375,3.0,MQ
17CM,ESM,Micromixer,20.0,15.0,0.0,5.0,0.0,1.375,3.0,MQ
18CM,ESM,Micromixer,20.0,15.0,0.0,5.0,0.0,1.375,3.0,MQ
19CM,ESM,Micromixer,20.0,15.0,0.0,5.0,0.0,1.375,3.0,MQ
20CM,ESM,Micromixer,20.0,15.0,0.0,5.0,0.0,1.375,3.0,MQ
21CM,ESM,Micromixer,20.0,17.97,0.0,2.03,0.0,0.706,1.8,MQ
22CM,ESM,Micromixer,20.0,12.03,0.0,7.97,0.0,0.706,1.8,MQ
23CM,ESM,Micromixer,20.0,17.97,0.0,2.03,0.0,2.044,1.8,MQ
24CM,ESM,Micromixer,20.0,12.03,0.0,7.97,0.0,2.044,1.8,MQ
25CM,ESM,Micromixer,20.0,17.97,0.0,2.03,0.0,0.706,4.2,MQ
26CM,ESM,Micromixer,20.0,12.03,0.0,7.97,0.0,0.706,4.2,MQ
27CM,ESM,Micromixer,20.0,17.97,0.0,2.03,0.0,2.044,4.2,MQ
28CM,ESM,Micromixer,20.0,12.03,0.0,7.97,0.0,2.044,4.2,MQ
29CM,ESM,Micromixer,20.0,20.0,0.0,0.0,0.0,1.375,3.0,MQ
30CM,ESM,Micromixer,20.0,10.0,0.0,10.0,0.0,1.375,3.0,MQ
31CM,ESM,Micromixer,20.0,15.0,0.0,5.0,0.0,0.25,3.0,MQ
32CM,ESM,Micromixer,20.0,15.0,0.0,5.0,0.0,2.5,3.0,MQ
33CM,ESM,Micromixer,20.0,15.0,0.0,5.0,0.0,1.375,1.0,MQ
